Rank,Name,CCU_Current_Players,Positive_Rating_Pct,Price_USD,Primary_Tag,Publisher
1,Counter-Strike: Global Offensive,1013936,86.69,0.0,经典神作,Valve
3,PUBG: BATTLEGROUNDS,314682,59.44,0.0,免费竞技,"KRAFTON, Inc."
26,Rust,143870,87.24,39.99,经典神作,Facepunch Studios
2,Apex Legends,124262,67.14,0.0,免费竞技,Electronic Arts
20,Wallpaper Engine,91184,98.04,4.99,独立精品,Wallpaper Engine Team
9,Grand Theft Auto V Legacy,67851,87.41,0.0,经典神作,Rockstar Games
6,Call of Duty: Modern Warfare II,67419,58.76,38.49,AAA大作,Activision
50,NARAKA: BLADEPOINT,66954,69.54,0.0,免费竞技,NetEase Games Global
21,Baldur's Gate 3,54771,96.85,59.99,AAA大作,Larian Studios
15,HELLDIVERS 2,53399,76.24,39.99,AAA大作,PlayStation Publishing LLC
25,Tom Clancy's Rainbow Six Siege,51847,83.86,19.99,中型爆款,Ubisoft
29,Stardew Valley,50662,98.44,14.99,独立精品,ConcernedApe
13,War Thunder,50478,63.99,0.0,免费竞技,Gaijin Network Ltd
39,Dead by Daylight,44886,79.05,19.99,中型爆款,Behaviour Interactive Inc.
5,Team Fortress 2,43819,89.91,0.0,经典神作,Valve
96,DayZ,37066,76.78,49.99,AAA大作,Bohemia Interactive
16,Warframe,36195,87.05,0.0,中型爆款,Digital Extremes
41,VRChat,34699,75.56,0.0,中型爆款,VRChat Inc.
95,R.E.P.O.,32349,96.51,9.99,独立精品,semiwork
71,Don't Starve Together,30542,95.26,14.99,独立精品,Klei Entertainment
58,Red Dead Redemption 2,29885,92.25,14.99,AAA大作,Rockstar Games
17,ELDEN RING,29529,92.89,59.99,AAA大作,"FromSoftware, Inc., Bandai Namco Entertainment"
33,PAYDAY 2,27254,89.63,9.99,经典神作,Starbreeze Entertainment
90,Sid Meier’s Civilization VI,25420,86.89,59.99,经典神作,"2K, Aspyr (Mac), Aspyr (Linux)"
69,The Sims 4,25276,87.31,0.0,AAA大作,Electronic Arts
10,Left 4 Dead 2,25122,97.54,9.99,经典神作,Valve
24,Destiny 2,24619,79.58,0.0,免费竞技,Bungie
18,Terraria,24580,97.48,9.99,经典神作,Re-Logic
56,Project Zomboid,22864,94.19,19.99,独立精品,The Indie Stone
66,Schedule I,22757,98.41,19.99,独立精品,TVGS
38,Cyberpunk 2077,22265,84.39,59.99,AAA大作,CD PROJEKT RED
28,ARK: Survival Evolved,22170,83.84,14.99,中型爆款,"Studio Wildcard, Snail Games USA"
55,Rocket League,21106,87.35,0.0,免费竞技,Psyonix LLC
23,Garry's Mod,18400,96.8,9.99,独立精品,Valve
4,Palworld,18028,94.1,22.49,独立精品,Pocketpair
12,Lost Ark,17355,71.02,0.0,免费竞技,Amazon Games
46,Euro Truck Simulator 2,17281,97.36,19.99,独立精品,SCS Software
