Rank,Name,CCU_Current_Players,Positive_Rating_Pct,Price_USD,Primary_Tag,Publisher
98,NBA 2K20,221,49.87,0.0,Other,2K
70,Black Squad,212,75.93,0.0,Other,VALOFE
51,Half-Life 2: Deathmatch,159,90.67,19.99,Other,Valve
92,Life is Strange 2,153,86.3,31.96,Other,"Square Enix, Feral Interactive (Mac), Feral Interactive (Linux)"
75,Counter-Strike: Condition Zero,83,89.75,9.99,Other,Valve
81,CyberCorp,3,82.61,9.74,Other,Megame LLC
37,Half-Life 2: Lost Coast,2,89.25,19.99,Other,Valve
77,Street Warriors Online,1,57.59,1.99,Other,Crazy Rocks Studios
35,Grand Theft Auto IV: Complete Edition,0,82.48,0.0,Other,Rockstar Games
67,Ring of Elysium,0,74.47,0.0,Other,TCH Scarlet Limited
54,Heroes & Generals,0,67.59,0.0,Other,TLM Partners
